MAC_addr	MAC_vendor  	MAC_type
00:01:13	OLYMPUS CORPORATION  	misc
00:01:14	KANDA TSUSHIN KOGYO CO., LTD.  	misc
00:01:15	EXTRATECH CORPORATION  	misc
00:01:16	Netspect Technologies, Inc.  	misc
00:01:17	CANAL +  	misc
00:01:18	EZ Digital Co., Ltd.  	misc
00:01:19	RTUnet (Australia)  	misc
00:01:1a	Hoffmann und Burmeister GbR  	misc
00:01:1b	Unizone Technologies, Inc.  	misc
00:01:1c	Universal Talkware Corporation  	misc
00:01:1d	Centillium Communications  	misc
00:01:1e	Precidia Technologies, Inc.  	misc
00:01:1f	RC Networks, Inc.  	misc
00:01:20	OSCILLOQUARTZ S.A.  	misc
00:01:21	Watchguard Technologies, Inc.  	misc
00:01:22	Trend Communications, Ltd.  	misc
00:01:23	DIGITAL ELECTRONICS CORP.  	misc
00:01:24	Acer Incorporated  	misc
00:01:25	YAESU MUSEN CO., LTD.  	misc
00:01:26	PAC Labs  	misc
00:01:27	OPEN Networks Pty Ltd  	misc
00:01:28	EnjoyWeb, Inc.  	misc
00:01:29	DFI Inc.  	misc
00:01:2a	Telematica Sistems Inteligente  	misc
00:01:2b	TELENET Co., Ltd.  	misc
00:01:2c	Aravox Technologies, Inc.  	misc
00:01:2d	Komodo Technology  	misc
00:01:2e	PC Partner Ltd.  	misc
00:01:2f	Twinhead International Corp  	misc
00:01:30	Extreme Networks  	misc
00:01:31	Bosch Security Systems, Inc.  	misc
00:01:32	Dranetz BMI 	misc
00:01:33	KYOWA Electronic Instruments C  	misc
00:01:34	Selectron Systems AG  	misc
00:01:35	KDC Corp.  	misc
00:01:36	CyberTAN Technology, Inc.  	misc
00:01:37	IT Farm Corporation  	misc
00:01:38	XAVi Technologies Corp.  	misc
00:01:39	Point Multimedia Systems  	misc
00:01:3a	SHELCAD COMMUNICATIONS, LTD.  	misc
00:01:3b	BNA SYSTEMS  	misc
00:01:3c	TIW SYSTEMS  	misc
00:01:3d	RiscStation Ltd.  	misc
00:01:3e	Ascom Tateco AB  	misc
00:01:3f	Neighbor World Co., Ltd.  	misc
00:01:40	Sendtek Corporation  	misc
00:01:41	CABLE PRINT  	misc
00:01:42	CISCO SYSTEMS, INC.  	misc
00:01:43	CISCO SYSTEMS, INC.  	misc
00:01:44	EMC Corporation  	misc
00:01:45	WINSYSTEMS, INC.  	misc
00:01:46	Tesco Controls, Inc.  	misc
00:01:47	Zhone Technologies  	misc
00:01:48	X-traWeb Inc.  	misc
00:01:49	T.D.T. Transfer Data Test GmbH  	misc
00:01:4a	Sony Corporation  	misc
00:01:4b	Ennovate Networks, Inc.  	misc
00:01:4c	Berkeley Process Control  	misc
00:01:4d	Shin Kin Enterprises Co., Ltd  	misc
00:01:4e	WIN Enterprises, Inc.  	misc
00:01:4f	ADTRAN INC  	misc
00:01:50	GILAT COMMUNICATIONS, LTD.  	misc
00:01:51	Ensemble Communications  	misc
00:01:52	CHROMATEK INC.  	misc
00:01:53	ARCHTEK TELECOM CORPORATION  	misc
00:01:54	G3M Corporation  	misc
00:01:55	Promise Technology, Inc.  	misc
00:01:56	FIREWIREDIRECT.COM, INC.  	misc
00:01:57	SYSWAVE CO., LTD  	misc
00:01:58	Electro Industries/Gauge Tech  	misc
00:01:59	S1 Corporation  	misc
00:01:5a	Digital Video Broadcasting  	misc
00:01:5b	ITALTEL S.p.A/RF-UP-I  	misc
00:01:5c	CADANT INC.  	misc
00:01:5d	Oracle Corporation  	misc
00:01:5e	BEST TECHNOLOGY CO., LTD.  	misc
00:01:5f	DIGITAL DESIGN GmbH  	misc
00:01:60	ELMEX Co., LTD.  	misc
00:01:61	Meta Machine Technology  	misc
00:01:62	Cygnet Technologies, Inc.  	misc
00:01:63	CISCO SYSTEMS, INC.  	misc
00:01:64	CISCO SYSTEMS, INC.  	misc
00:01:65	AirSwitch Corporation  	misc
00:01:66	TC GROUP A/S  	misc
00:01:67	HIOKI E.E. CORPORATION  	misc
00:01:68	VITANA CORPORATION  	misc
00:01:69	Celestix Networks Pte Ltd.  	misc
00:01:6a	ALITEC  	misc
00:01:6b	LightChip, Inc.  	misc
00:01:6c	FOXCONN  	misc
00:01:6d	CarrierComm Inc.  	misc
00:01:6e	Conklin Corporation  	misc
00:01:6f	Inkel Corp.  	misc
00:01:70	ESE Embedded System Engineer'g  	misc
00:01:71	Allied Data Technologies  	misc
00:01:72	TechnoLand Co., LTD.  	misc
00:01:73	AMCC  	misc
00:01:74	CyberOptics Corporation  	misc
00:01:75	Radiant Communications Corp.  	misc
00:01:76	Orient Silver Enterprises  	misc
00:01:77	EDSL  	misc
00:01:78	MARGI Systems, Inc.  	misc
00:01:79	WIRELESS TECHNOLOGY, INC.  	misc
00:01:7a	Chengdu Maipu Electric Industrial Co., Ltd.  	misc
00:01:7b	Heidelberger Druckmaschinen AG  	misc
00:01:7c	AG-E GmbH  	misc
00:01:7d	ThermoQuest  	misc
00:01:7e	ADTEK System Science Co., Ltd.  	misc
00:01:7f	Experience Music Project  	misc
00:01:80	AOpen, Inc.  	misc
00:01:81	Nortel Networks  	misc
00:01:82	DICA TECHNOLOGIES AG  	misc
00:01:83	ANITE TELECOMS  	misc
00:01:84	SIEB & MEYER AG  	misc
00:01:85	Hitachi Aloka Medical, Ltd.  	misc
00:01:86	Uwe Disch  	misc
00:01:87	I2SE GmbH  	misc
00:01:88	LXCO Technologies ag  	misc
00:01:89	Refraction Technology, Inc.  	misc
00:01:8a	ROI COMPUTER AG  	misc
00:01:8b	NetLinks Co., Ltd.  	misc
00:01:8c	Mega Vision  	misc
00:01:8d	AudeSi Technologies  	misc
00:01:8e	Logitec Corporation  	misc
00:01:8f	Kenetec, Inc.  	misc
00:01:90	SMK-M  	misc
00:01:91	SYRED Data Systems  	misc
00:01:92	Texas Digital Systems  	misc
00:01:93	Hanbyul Telecom Co., Ltd.  	misc
00:01:94	Capital Equipment Corporation  	misc
00:01:95	Sena Technologies, Inc.  	misc
00:01:96	CISCO SYSTEMS, INC.  	misc
00:01:97	CISCO SYSTEMS, INC.  	misc
00:01:98	Darim Vision  	misc
00:01:99	HeiSei Electronics  	misc
00:01:9a	LEUNIG GmbH  	misc
00:01:9b	Kyoto Microcomputer Co., Ltd.  	misc
00:01:9c	JDS Uniphase Inc.  	misc
00:01:9d	E-Control Systems, Inc.  	misc
00:01:9e	ESS Technology, Inc.  	misc
00:01:9f	ReadyNet  	misc
00:01:a0	Infinilink Corporation  	misc
00:01:a1	Mag-Tek, Inc.  	misc
00:01:a2	Logical Co., Ltd.  	misc
00:01:a3	GENESYS LOGIC, INC.  	misc
00:01:a4	Microlink Corporation  	misc
00:01:a5	Nextcomm, Inc.  	misc
00:01:a6	Scientific-Atlanta Arcodan A/S  	misc
00:01:a7	UNEX TECHNOLOGY CORPORATION  	misc
00:01:a8	Welltech Computer Co., Ltd.  	misc
00:01:a9	BMW AG  	misc
00:01:aa	Airspan Communications, Ltd.  	misc
00:01:ab	Main Street Networks  	misc
00:01:ac	Sitara Networks, Inc.  	misc
00:01:ad	Coach Master International  d.b.a. CMI Worldwide, Inc.  	misc
00:01:ae	Trex Enterprises  	misc
00:01:af	Emerson Network Power  	misc
00:01:b0	Fulltek Technology Co., Ltd.  	misc
00:01:b1	General Bandwidth  	misc
00:01:b2	Digital Processing Systems, Inc.  	misc
00:01:b3	Precision Electronic Manufacturing  	misc
00:01:b4	Wayport, Inc.  	misc
00:01:b5	Turin Networks, Inc.  	misc
00:01:b6	SAEJIN T&M Co., Ltd.  	misc
00:01:b7	Centos, Inc.  	misc
00:01:b8	Netsensity, Inc.  	misc
00:01:b9	SKF Condition Monitoring  	misc
00:01:ba	IC-Net, Inc.  	misc
00:01:bb	Frequentis  	misc
00:01:bc	Brains Corporation  	misc
00:01:bd	Peterson Electro-Musical Products, Inc.  	misc
00:01:be	Gigalink Co., Ltd.  	misc
00:01:bf	Teleforce Co., Ltd.  	misc
00:01:c0	CompuLab, Ltd.  	misc
00:01:c1	Vitesse Semiconductor Corporation  	misc
00:01:c2	ARK Research Corp.  	misc
00:01:c3	Acromag, Inc.  	misc
00:01:c4	NeoWave, Inc.  	misc
00:01:c5	Simpler Networks  	misc
00:01:c6	Quarry Technologies  	misc
00:01:c7	CISCO SYSTEMS, INC.  	misc
00:01:c8	THOMAS CONRAD CORP.  	misc
00:01:c8	CONRAD CORP.  	misc
00:01:c9	CISCO SYSTEMS, INC.  	misc
00:01:ca	Geocast Network Systems, Inc.  	misc
00:01:cb	EVR  	misc
00:01:cc	Japan Total Design Communication Co., Ltd.  	misc
00:01:cd	ARtem  	misc
00:01:ce	Custom Micro Products, Ltd.  	misc
00:01:cf	Alpha Data Parallel Systems, Ltd.  	misc
00:01:d0	VitalPoint, Inc.  	misc
00:01:d1	CoNet Communications, Inc.  	misc
00:01:d2	inXtron, Inc.  	misc
00:01:d3	PAXCOMM, Inc.  	misc
00:01:d4	Leisure Time, Inc.  	misc
00:01:d5	HAEDONG INFO & COMM CO., LTD  	misc
00:01:d6	manroland AG  	misc
00:01:d7	F5 Networks, Inc.  	misc
00:01:d8	Teltronics, Inc.  	misc
00:01:d9	Sigma, Inc.  	misc
00:01:da	WINCOMM Corporation  	misc
00:01:db	Freecom Technologies GmbH  	misc
00:01:dc	Activetelco  	misc
00:01:dd	Avail Networks  	misc
00:01:de	Trango Systems, Inc.  	misc
00:01:df	ISDN Communications, Ltd.  	misc
00:01:e0	Fast Systems, Inc.  	misc
00:01:e1	Kinpo Electronics, Inc.  	misc
00:01:e2	Ando Electric Corporation  	misc
00:01:e3	Siemens AG  	misc
00:01:e4	Sitera, Inc.  	misc
00:01:e5	Supernet, Inc.  	misc
00:01:e6	Hewlett-Packard Company  	misc
00:01:e7	Hewlett-Packard Company  	misc
00:01:e8	Force10 Networks, Inc.  	misc
00:01:e9	Litton Marine Systems B.V.  	misc
00:01:ea	Cirilium Corp.  	misc
00:01:eb	C-COM Corporation  	misc
00:01:ec	Ericsson Group  	misc
00:01:ed	SETA Corp.  	misc
00:01:ee	Comtrol Europe, Ltd.  	misc
00:01:ef	Camtel Technology Corp.  	misc
00:01:f0	Tridium, Inc.  	misc
00:01:f1	Innovative Concepts, Inc.  	misc
00:01:f2	Mark of the Unicorn, Inc.  	misc
00:01:f3	QPS, Inc.  	misc
00:01:f4	Enterasys Networks  	misc
00:01:f5	ERIM S.A.  	misc
00:01:f6	Association of Musical Electronics Industry  	misc
00:01:f7	Image Display Systems, Inc.  	misc
00:01:f8	Texio Technology Corporation  	misc
00:01:f9	TeraGlobal Communications Corp.  	misc
00:01:fa	HOROSCAS  	misc
00:01:fb	DoTop Technology, Inc.  	misc
00:01:fc	Keyence Corporation  	misc
00:01:fd	Digital Voice Systems, Inc.  	misc
00:01:fe	DIGITAL EQUIPMENT CORPORATION  	misc
00:01:ff	Data Direct Networks, Inc.  	misc
00:02:00	Net & Sys Co., Ltd.  	misc
00:02:01	IFM Electronic gmbh  	misc
00:02:02	Amino Communications, Ltd.  	misc
00:02:03	Woonsang Telecom, Inc.  	misc
00:02:04	Bodmann Industries Elektronik GmbH  	misc
00:02:05	Hitachi Denshi, Ltd.  	misc
00:02:06	Telital R&D Denmark A/S  	misc
00:02:07	VisionGlobal Network Corp.  	misc
00:02:08	Unify Networks, Inc.  	misc
00:02:09	Shenzhen SED Information Technology Co., Ltd.  	misc
00:02:0a	Gefran Spa  	misc
00:02:0b	Native Networks, Inc.  	misc
00:02:0c	Metro-Optix  	misc
00:02:0d	Micronpc.com  	misc
00:02:0e	ECI Telecom, Ltd  	misc
00:02:0f	AATR  	misc
00:02:10	Fenecom  	misc
00:02:11	Nature Worldwide Technology Corp.  	misc
00:02:12	SierraCom  	misc
00:02:13	S.D.E.L.  	misc
00:02:14	DTVRO  	misc
00:02:15	Cotas Computer Technology A/B  	misc
00:02:16	CISCO SYSTEMS, INC.  	misc
00:02:17	CISCO SYSTEMS, INC.  	misc
00:02:18	Advanced Scientific Corp  	misc
00:02:19	Paralon Technologies  	misc
00:02:1a	Zuma Networks  	misc
00:02:1b	Kollmorgen-Servotronix  	misc
00:02:1c	Network Elements, Inc.  	misc
00:02:1d	Data General Communication Ltd.  	misc
00:02:1e	SIMTEL S.R.L.  	misc
00:02:1f	Aculab PLC  	misc
00:02:20	CANON FINETECH INC.  	misc
00:02:21	DSP Application, Ltd.  	misc
00:02:22	Chromisys, Inc.  	misc
00:02:23	ClickTV  	misc
00:02:24	C-COR  	misc
00:02:25	One Stop Systems  	misc
00:02:26	XESystems, Inc.  	misc
00:02:27	ESD Electronic System Design GmbH  	misc
00:02:28	Necsom, Ltd.  	misc
00:02:29	Adtec Corporation  	misc
00:02:2a	Asound Electronic  	misc
00:02:2b	SAXA, Inc.  	misc
00:02:2c	ABB Bomem, Inc.  	misc
00:02:2d	Agere Systems  	misc
00:02:2e	TEAC Corp. R& D  	misc
00:02:2f	P-Cube, Ltd.  	misc
00:02:30	Intersoft Electronics  	misc
00:02:31	Ingersoll-Rand  	misc
00:02:32	Avision, Inc.  	misc
00:02:33	Mantra Communications, Inc.  	misc
00:02:34	Imperial Technology, Inc.  	misc
00:02:35	Paragon Networks International  	misc
00:02:36	INIT GmbH  	misc
00:02:37	Cosmo Research Corp.  	misc
00:02:38	Serome Technology, Inc.  	misc
00:02:39	Visicom  	misc
00:02:3a	ZSK Stickmaschinen GmbH  	misc
00:02:3b	Ericsson  	misc
00:02:3c	Creative Technology, Ltd.  	misc
00:02:3d	Cisco Systems, Inc.  	misc
00:02:3e	Selta Telematica S.p.a  	misc
00:02:3f	Compal Electronics, Inc.  	misc
00:02:40	Seedek Co., Ltd.  	misc
00:02:41	Amer.com  	misc
00:02:42	Videoframe Systems  	misc
00:02:43	Raysis Co., Ltd.  	misc
00:02:44	SURECOM Technology Co.  	misc
00:02:45	Lampus Co, Ltd.  	misc
00:02:46	All-Win Tech Co., Ltd.  	misc
00:02:47	Great Dragon Information Technology (Group) Co., Ltd.  	misc
00:02:48	Pilz GmbH & Co.  	misc
00:02:49	Aviv Infocom Co, Ltd.  	misc
